"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local","website","is_available","homesite_user_name","fb_last_update","facebook_text","subscribers","description","fb_last_update_year","website_type","website_status","is_available1","is_available2","fb_rating","fb_reviews","fb_followers"
"g294452-d21290674","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Neighbors Family Restaurant']","Neighbors Family Restaurant","Claimed",5,"September 24, 2020","Slav Karaslavov, Sofia 1700 Bulgaria",,,"#707 of 1,226 Restaurants in Sofia","#707 of 1,226 Restaurants in Sofia",2,0,,,,"Lunch, Dinner",,,"True","True",,,,,2,0,0,0,0,"English (2)","in rating","g294452-d21290674",,,"Restaurants",2,0,0,"http://www.neighbors.bg","Neighbours - Изберете ресторант | Neighbours.bg","Neighbours - Изберете ресторант | Neighbours.bg","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21295044","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Boutique Mino 1923']","Boutique Minó 1923","Claimed",5,"January 31, 2021","Ul. 6ti Septemvri 26, Sofia 1000 Bulgaria",42.493633,27.460117,"#693 of 1,226 Restaurants in Sofia","#164 of 275 Italian in Sofia",2,0,,"₪11 - ₪87","Italian","Breakfast, Lunch, Dinner, Brunch, Drinks",,"Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly","True","True",,,,,2,0,0,0,0,"Italian (2), English","in rating","g294452-d21295044","$$ - $$$","Italian","Restaurants",0,2,0,"http://www.facebook.com/mino1923","account_exists","Boutique Minó 1923 updated their profile picture.","November 15, 2022",,"2.2K likes • 2.4K followers","Intro
Galleria Minó 1923 | Concept store - 26 6ti septemvri⁣ Str.
Boutique Minó 1923 - 21 Slavyanska Str.
Page · Bar
ул. 6ти септември 26, Sofia, Bulgaria
+359 88 755 5783
ekatemateeva@libero.it
boutiquemino1923
mino1923.business.site
Closing Soon
Curbside pickup
Price Range · $$$
Rating · 5.0 (39 Reviews)",2022,"facebook","online","True","True",5,39,2400
"g294452-d21305037","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Alibi Bar & Grill']","Alibi Bar & Grill","Claimed",3.5,"October 13, 2023","bulevard Tsar Boris ІІІ 41, Sofia 1612 Bulgaria",42.682716,23.294758,"#1,050 of 1,226 Restaurants in Sofia","#8 of 8 Central-Italian in Sofia",6,0,,"₪8 - ₪64","Italian, French, International, Central-Italian",,,,"False","True",,,,,3,0,1,0,2,"Norwegian (1), English (5)","in rating","g294452-d21305037","$","Italian, French, International","Restaurants",5,1,0,"https://www.facebook.com/Alibi-barGrill-101042874938673/","account_exists","Alibi bar&Grill","October, 2023","Усилията се възнаграждават. Вашите отзиви ни карат да продължаваме да се стремим към по-добро! Благодарим на Радина за споделения отзив 
Запази си маса. Алибито е от нас
+359 887 001 800… See more","3.4K likes • 3.6K followers","Intro
Fine cuisine and stylish ambience.
Page · Bar & Grill
Булевард Цар Борис 41, Sofia, Bulgaria
+359 88 700 1800
alibi.bar.and.grill
Dine-in · Outdoor seating · In-store pickup
Price Range · $$
Rating · 4.8 (38 Reviews)",2023,"facebook","online","True","True",4.8,38,3600
"g294452-d21307645","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Pentimento']","Pentimento","Unclaimed",5,"October 10, 2020","ulitsa Boryana 60, Sofia 1618 Bulgaria",42.67368,23.25429,"#870 of 1,226 Restaurants in Sofia","#870 of 1,226 Restaurants in Sofia",2,0,,,,"Lunch, Dinner",,,"True","True",,,,,2,0,0,0,0,"English (2)","in rating","g294452-d21307645",,,"Restaurants",2,0,0,"http://www.facebook.com/artpentimento/","account_exists","Арт магазин-кафе ""Pentimento"" created an event.","October, 2023",,"1K followers • 23 following","Intro
Магазин за художествени материали и Арт-кафе 👨🏻‍🎨☕️
Page · Arts & entertainment
Овча Купел,ул.Боряна N 60 близо до НБУ, Sofia, Bulgaria
+359 87 835 0788
martea.trade@hotmail.com
Closed now
Rating · 5.0 (16 Reviews)",2023,"facebook","online","True","True",5,16,1000
"g294452-d21317174","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Brew It Craft Beer & Food']","Brew It Craft Beer & Food","Unclaimed",3.5,"October 20, 2021","ulitsa Ivats Voyvoda 2, Sofia 1124 Bulgaria",42.68924,23.34486,"#934 of 1,226 Restaurants in Sofia","#8 of 9 Brew Pub in Sofia",4,0,,,"Brew Pub, Pub",,,,"False","False",,,,,2,0,0,2,0,"English (4)","in rating","g294452-d21317174",,"Brew Pub, Pub","Restaurants",4,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g294452-d21317819","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Quche']","Quche","Claimed",3,"August 31, 2022","ulitsa Oborishte 37, Sofia 1504 Bulgaria",42.69475,23.34223,"#1,073 of 1,226 Restaurants in Sofia","#43 of 47 French in Sofia",6,0,,,"French, European","Lunch, Dinner",,,"True","True",,,,,3,0,0,1,2,"German (1), English (5)","in rating","g294452-d21317819","$$ - $$$","French, European","Restaurants",5,1,0,"http://instagram.com/quche37","Wine•Sweets•Social 🧸 (@quche37) • Instagram photos and videos","Instagram","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21324320","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Slavyani Pizza Restaurant']","Slavyani Pizza Restaurant","Unclaimed",5,"October 26, 2020","Yanko Sakazov Blvd 72 Asen Zlatarov 1, Sofia 1504 Bulgaria",,,"#875 of 1,226 Restaurants in Sofia","#172 of 214 Eastern European in Sofia",1,0,,,"Pizza, Barbecue, Grill, Eastern European, Beer restaurants","Lunch, Dinner",,,"True","True",,,,,1,0,0,0,0,"English (1)","in rating","g294452-d21324320",,"Pizza, Barbecue, Grill, Eastern European","Restaurants",1,0,0,"http://www.slaviani.bg","Slaviani – Slaviani","Slaviani – Slaviani","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21329950","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Food Lab']","Food Lab","Unclaimed",,,"Food Lab Bulevard Sveti Kliment Ohridski 8, Sofia 1756 Bulgaria",42.654358,23.359356,,,0,0,,"₪4 - ₪33","European, Eastern European, Central European",,,,"False","True",,,,,0,0,0,0,0,,"in rating","g294452-d21329950","$","European, Eastern European, Central European",,0,0,0,"http://www.foodlab.bg","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g294452-d21339085","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Kafana Miloshevich']","Kafana Miloshevich","Claimed",5,"September 20, 2022","Str.Kotlenski Prohod 96b, Sofia 1000 Bulgaria",42.672688,23.300402,"#138 of 1,226 Restaurants in Sofia","#105 of 469 European in Sofia",18,0,,"₪17 - ₪85","Mediterranean, European, Eastern European","Dinner, Lunch, Brunch, Drinks",,"Reservations, Table Service, Delivery, Outdoor Seating, Private Dining, Seating, Parking Available, Accepts Credit Cards","True","True",,,,,17,1,0,0,0,"German (2), English (16)","in rating","g294452-d21339085","$$ - $$$","Mediterranean, European, Eastern European","Restaurants",16,2,0,"http://kafana-miloshevich.com","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g294452-d21340476","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', '888 Taste Show Asian Cuisine']","888 Taste Show Asian Cuisine","Claimed",4.5,"July 15, 2023","Bul. Vitosha 89B, Sofia 1463 Bulgaria",42.682487,23.315008,"#101 of 1,226 Restaurants in Sofia","#101 of 1,226 Restaurants in Sofia",28,0,,"₪40 - ₪201","Asian, Japanese, Chinese, Thai, Japanese Fusion","Lunch, Dinner, Brunch, Late Night, Drinks",,"Takeout, Reservations, Seating, Free Wifi, Table Service, Delivery, Buffet, Private Dining, Parking Available, Street Parking, Valet Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Accepts Credit Cards, Family style, Non-smoking restaurants, Gift Cards Available","True","True",45,50,40,,24,1,2,1,0,"English (26), Russian (2)","in rating","g294452-d21340476","$$ - $$$","Chinese, Japanese, Asian","Restaurants",26,2,0,"http://888restaurant.bg/index.php","888 Restaurant","888 Restaurant","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21349493","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', '76 Храна и Хляб']","76 Храна и Хляб","Unclaimed",5,"October 17, 2020","ulitsa Graf Ignatiev 76, Sofia 1142 Bulgaria",42.686756,23.33028,"#870 of 1,226 Restaurants in Sofia","#870 of 1,226 Restaurants in Sofia",1,0,,,,,,,"False","True",,,,,1,0,0,0,0,"French (1), English","in rating","g294452-d21349493","$$ - $$$",,"Restaurants",0,1,0,"https://www.facebook.com/76foodbread/?ref=py_c","account_doesnt_exist",,"nan",,,,0,"facebook","unavailable","True","True",,,0
"g294452-d21350840","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'DABOV Specialty Coffee 5']","DABOV Specialty Coffee 5","Claimed",,,"Hristo Botev Blvd 1B, Sofia 1606 Bulgaria",42.689747,23.313866,,,0,0,,"₪4 - ₪87","Cafe",,,,"True","True",,,,,0,0,0,0,0,,"in rating","g294452-d21350840","$$ - $$$","Cafe",,0,0,0,"http://dabov.coffee/","Online shop for coffee and tea - Dabov Specialty Coffee",,"nan",,,,0,"non-facebook","online","True","False",,,0
"g294452-d21351141","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Amore Gelati']","Amore Gelati","Claimed",,,"ulitsa Tsar Ivan Shishman 41, Sofia 1000 Bulgaria",42.689507,23.327703,,,0,0,,"₪11 - ₪98","Italian",,,,"False","True",,,,,0,0,0,0,0,,"in rating","g294452-d21351141","$$ - $$$","Italian",,0,0,0,"http://amoregelati.bg","Начало - Amore Gelati","Начало - Amore Gelati","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21354648","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', ""Enzo's Boutique Restaurant""]","Enzo's Boutique Restaurant","Unclaimed",,,"Pirin St. 71 1680, Sofia 1000 Bulgaria",41.831184,23.482073,,,0,0,,"₪54 - ₪130","Italian","Lunch, Dinner",,,"True","True",,,,,0,0,0,0,0,,"in rating","g294452-d21354648","$$ - $$$","Italian",,0,0,0,"https://www.facebook.com/EnzosBoutiqueRestaurantSofia/","account_exists","Enzo's Boutique Restaurant is at Enzo's Boutique Restaurant.","November 14, 2021"," Important Communication 
-
 важна комуникация 
-
-
-
#re… See more","61 likes • 66 followers","Intro
Our restaurant is committed to serve our customers fresh and original Italian food prepared by Our I
Page · Restaurant
Sofia, Bulgaria
+359 88 203 7743
enzoboutique.sofia@gmail.com
enzosboutiquerestaurant.eu
Open now
Rating · 5.0 (5 Reviews)",2021,"facebook","online","True","True",5,5,66
"g294452-d21362408","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Gotvarnitsa']","Gotvarnitsa","Claimed",5,"October 27, 2020","ulitsa Dobrudzha 10, Sofia 1000 Bulgaria",42.69309,23.33072,"#874 of 1,226 Restaurants in Sofia","#378 of 469 European in Sofia",1,0,,,"European, Pub, Diner, Gastropub, Eastern European","Lunch, Dinner, Brunch, Late Night, Drinks",,,"True","True",,,,,1,0,0,0,0,"English (1)","in rating","g294452-d21362408",,"European, Pub, Diner, Gastropub","Restaurants",1,0,0,"http://www.facebook.com/%D0%93%D0%BE%D1%82%D0%B2%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0-%D0%A5%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0%D1%82%D0%B0-%D0%B8-%D0%93%D0%B0%D1%80%D0%B3%D0%B0%D1%82%D0%B0-Gotvarnitsa-104290478122583/","account_exists","Кръчмарница Витошка/ Krachmarnitsa Vitoshka","October, 2023","Когато става въпрос за салата, ние винаги се наслаждаваме на богати и разнообразни вкусове. Насладете се на изобилието от аромати и вкусове в
Кръчмарница на бул. Витоша №21 /Ле Фльор бутик хотел/
За резервации: 
 +359 889 30 66 66
#krachmarnitsa  #Vitoshka  #vitoshka  #saladexpert  #катоудома","1.8K likes • 1.9K followers","Intro
Restaurant
Page · Restaurant
Бул. "" Витоша"" 21, Sofia, Bulgaria
+359 88 930 6666
takeaway.com/bg-en/menu/krachmarnitsa-oborishtekrcmarnica-oborishhe
Open now
Dine-in · Outdoor seating · Curbside pickup
Price Range · $$
Rating · 4.2 (20 Reviews)",2023,"facebook","online","True","True",4.2,20,1900
"g294452-d21364733","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Shakes']","Shakes","Unclaimed",1,"June 4, 2022","ulitsa Solunska 23 Vitoshka, Sofia 1000 Bulgaria",42.692444,23.320215,"#1,198 of 1,226 Restaurants in Sofia","#66 of 67 American in Sofia",1,0,,,"American, Belgian, Cafe, European, Asian, Taiwanese",,,,"False","False",,,,,0,0,0,0,1,"English (1)","in rating","g294452-d21364733","$","American, Belgian, Cafe","Restaurants",1,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g294452-d21367648","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Restaurant Pavlovich']","Restaurant Pavlovich","Unclaimed",,,"Str. Ekzarh Stefan 15a, Sofia 1220 Bulgaria",42.726185,23.304716,,,0,0,,"₪7 - ₪65","Pizza, European, Diner",,,,"False","True",,,,,0,0,0,0,0,,"in rating","g294452-d21367648","$","Pizza, European, Diner",,0,0,0,"http://pavlovich.bg","Ресторант с детски кът | Бърза доставка на храна | Pavlovich","Ресторант с детски кът | Бърза доставка на храна | Pavlovich","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21367848","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Street Chefs Geo Milev']","Street Chefs Geo Milev","Claimed",,,"ulitsa Kosta Lulchev 52, Sofia 1574 Bulgaria",42.680107,23.366913,,,0,0,,"₪15 - ₪37","American, Street Food","Lunch, Dinner",,"Delivery, Takeout, Seating, Parking Available, Highchairs Available, Wine and Beer, Accepts Credit Cards","True","True",,,,,0,0,0,0,0,,"in rating","g294452-d21367848","$","American, Street Food",,0,0,0,"http://www.streetchefs.bg","Street Chefs | Best Burgers in Town","Street Chefs | Best Burgers in Town","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d21374318","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Casa Viva Restaurant']","Casa Viva Restaurant","Unclaimed",5,"October 31, 2020","ulitsa D-r Lyuben Rusev 6, Sofia 1113 Bulgaria",42.66911,23.36443,"#870 of 1,226 Restaurants in Sofia","#870 of 1,226 Restaurants in Sofia",1,0,,,"Italian","Lunch, Dinner",,,"True","True",,,,,1,0,0,0,0,"English (1)","in rating","g294452-d21374318","$$ - $$$","Italian","Restaurants",1,0,0,"http://www.casaviva.bg","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g294452-d21390612","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Tosca Cafe']","Tosca Cafe","Unclaimed",,,"Calle Ekzarh Yosif, 19-23, Sofia 1000 Bulgaria",42.70045,23.321775,,,0,0,,,"International",,,,"False","False",,,,,0,0,0,0,0,,"in rating","g294452-d21390612",,"International",,0,0,0,"http://www.facebook.com/pages/Tosca-Cafe/140181202741503","account_exists","Kurt NielsenDEN FØRSTE TURIST I EUROPA","November 3, 2022","Leaving Sofia tonight","Facebook is showing information to help you better understand the purpose of a Page. See actions taken by the people who manage and post content.","About
See all
ул. Екзарх Йосиф 19-23 Sofia, Bulgaria
100 people like this
100 people follow this
1,215 people checked in here
Price range
  · $$$
Cafe",2022,"facebook","online","True","True",,,0
"g294452-d21404372","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Rossini']","Rossini - CLOSED","Claimed",5,"August 9, 2022","174 str. Georgi S. Rakovski, Sofia 1000 Bulgaria",42.685467,23.322828,,,22,0,,"₪43 - ₪109","Italian, International, European","Lunch, Drinks",,"Delivery, Takeout, Outdoor Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Family style","False","True",50,50,45,,19,2,1,0,0,"Italian (1), French (1), English (19), Turkish (1)","closed","g294452-d21404372","$$ - $$$","Italian, International, European",,19,3,0,"http://www.rossini.bg","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g294452-d21404409","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Tsaribrodska Sreshta']","Tsaribrodska Sreshta","Unclaimed",,,"Ulitsa Preobrazhensko Vŭstanie do blok 145 V, Sofia Bulgaria",42.707108,23.296974,,,0,0,,,,,,,"False","True",,,,,0,0,0,0,0,,"in rating","g294452-d21404409",,,,0,0,0,"https://www.facebook.com/%D0%A6%D0%B0%D1%80%D0%B8%D0%B1%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0-%D1%81%D1%80%D0%B5%D1%89%D0%B0-100225798566965/","account_exists","Царибродска среща","April 9, 2022",,"807 followers • 2 following","Intro
Топ ресторант намиращ се в Света Троица. Предлагащ авт?
Page · Restaurant
+359 88 817 5005
draganaleksov33@gmail.com
Price Range · $
Rating · 5.0 (6 Reviews)",2022,"facebook","online","True","True",5,6,807
"g294452-d21408457","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Пекарна Въздух']","Пекарна Въздух","Claimed",,,"137 Tsar Boris III Blvd. Crossroad with Dechko Yordanov St., Sofia 1618 Bulgaria",42.676895,23.282595,,,0,0,,,,"Breakfast, Brunch, Drinks",,"Delivery, Takeout, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards, Dog Friendly, Family style, Gift Cards Available","True","True",,,,,0,0,0,0,0,,"in rating","g294452-d21408457","$","Bakeries, International, Healthy",,0,0,0,"https://www.facebook.com/airbakery2020/","account_exists","Пекарна ВъзДух is feeling thankful.","October, 2023","Здравейте, драги приятели!
Петък ни донесе летен полъх и една чудно лека морковена торта.
Блатът е от орехи ,фурми,микс от подправки (цейлонска канела, анасон, джинджифил, резене, кориандър, карамфил, кардамон), кленов сироп, сушени боровинки, кокосово брашно.… See more","2.2K followers • 21 following","Intro
Предлагаме храната, която ние бихме искали да ядем.
Page · Bakery
бул. Цар Борис III 137 и ул. ""Цар Асен I"" 11, Sofia, Bulgaria
+359 87 619 9325
air.bakery1@gmail.com
airbakery2020
Closed now
Delivery · Takeout · Outdoor seating…
Rating · 5.0 (7 Reviews)",2023,"facebook","online","True","True",5,7,2200
"g294452-d21493371","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Wake And Bake Cafe And Eatery']","Wake And Bake Cafe And Eatery","Unclaimed",,,"30 Praga Blvd, Sofia 1606 Bulgaria",42.687824,23.311258,,,0,0,,,"Italian, French, Cafe","Breakfast, Lunch, Dinner",,,"True","True",,,,,0,0,0,0,0,,"in rating","g294452-d21493371","$$ - $$$","Italian, French, Cafe",,0,0,0,"http://www.facebook.com/Wake-bake-caf%C3%A8-and-eatery-104561791030666/","account_exists","Wake & bake cafè and eatery","July 4, 2023","Много свежарски торти правим напоследък 
 Много се радваме на такива поръчки! Ванилова торта с лимонов чийзкрем… а вътре цялата е синя, за бебе момче 
🩵
#genderreveal #бебемомче #partyforbaby #babygenderreveal #cakesbulgaria","1.1K likes • 1.2K followers","Intro
Семейна пекарна
Кафе☕️Кроасани🥐Сандвичи🌮Торти
Кетъринг за всеки повод
Веган|Без захар|Без глутен

Page · Sandwich Shop
Бул. Прага 30, Sofia, Bulgaria
+359 89 240 6914
wakeandbakesofia@gmail.com
wakeandbakesofia
Closed now
Delivery · Takeout · Dine-in…
Price Range · $
Rating · 5.0 (13 Reviews)",2023,"facebook","online","True","True",5,13,1200
"g294452-d21508367","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', ""Angelo's""]","Angelo's","Claimed",4.5,"June 4, 2022","Blvd. Alexander Malinov, 45 Hotel Kanyon, Sofia 1712 Bulgaria",42.627625,23.373644,"#329 of 1,226 Restaurants in Sofia","#49 of 153 Pizza in Sofia",9,0,,,"Italian, Pizza, European, Diner, Wine Bar","Lunch, Dinner",,"Reservations","True","True",,,,,7,1,0,1,0,"Italian (1), English (8)","in rating","g294452-d21508367","$$ - $$$","Italian, Pizza, European","Restaurants",8,1,0,"https://kanyon-hotel.com/angelos-restaurant/","Angelo’s Restaurant – Kanyon Hotel","Kanyon Hotel – Small Jewel in Mladost, Sofia","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d2154976","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', ""Hadjidraganov's Cellars""]","Hadjidraganov's Cellars","Claimed",4,"October 15, 2023","18, Hristo Belchev street next to Vitoshka street, Sofia 1000 Bulgaria",42.692814,23.321217,"#40 of 1,226 Restaurants in Sofia","#40 of 1,226 Restaurants in Sofia",1629,0,,"₪42 - ₪106","Barbecue, European, Eastern European, Central European","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Highchairs Available, Digital Payments, Accepts Credit Cards, Table Service, Live Music","True","True",40,40,40,45,781,517,172,99,60,"Portuguese (8), Turkish (4), French (64), Greek (35), Swedish (8), Hebrew (18), Dutch (39), Spanish (118), Polish (3), Korean (4), Russian (30), Chinese (Sim.) (33), Danish (5), Italian (534), German (42), Chinese (Trad.) (33), Serbian (3), English (701), Japanese (10)","in rating","g294452-d2154976","$$ - $$$","Barbecue, European, Eastern European","Restaurants",701,991,0,"http://www.izbite.com/en/","Bulgarian national restaurant HADJIDRAGANOV'S CELLARS - traditional bulgarian cuisine in the centre of Sofia next to Vitosha boulevard","Български ресторант ХАДЖИДРАГАНОВИТЕ ИЗБИ - в центъра на София - българска национална кухня, лятна градина, народна музика на живо","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d2190234","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Izbata Tavern']","Izbata Tavern","Claimed",4.5,"October 16, 2023","ul.Slavyanska 18 18 Slavyanska st., Sofia 1000 Bulgaria",42.69253,23.329834,"#18 of 1,226 Restaurants in Sofia","#18 of 1,226 Restaurants in Sofia",1116,0,,"₪21 - ₪106","Eastern European, Central European","Lunch, Dinner, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Buffet, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wine and Beer, Accepts Credit Cards, Table Service","True","True",45,40,45,40,606,348,99,31,32,"Italian (450), Greek (20), Hebrew (3), Japanese (8), Russian (21), Spanish (113), Chinese (Sim.) (6), Swedish (1), Dutch (19), German (21), Chinese (Trad.) (5), Turkish (3), Danish (1), French (66), Portuguese (10), Serbian (1), English (374), Slovak (1)","in rating","g294452-d2190234","$$ - $$$","Eastern European, Central European, Vegetarian Friendly","Restaurants",374,749,0,"http://tavern.izbata.bg/en","Tavern Izbata, tavern-restaurant, Center","Механа ИЗБАТА, механи, Център","nan",,,,0,"non-facebook","online","True","True",,,0
"g294452-d2196954",,,,,,,,,,,0,0,,,,,,,"False","False",,,,,,,,,,,"redirect",,,,,0,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g294452-d2208711","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Vinarnata']","Vinarnata","Unclaimed",4.5,"June 26, 2016","Lavele St 19, Sofia 1000 Bulgaria",42.69467,23.31896,"#893 of 1,226 Restaurants in Sofia","#893 of 1,226 Restaurants in Sofia",4,0,,,,,,,"False","True",,,,,2,1,1,0,0,"English (2), Russian (2)","in rating","g294452-d2208711",,,"Restaurants",2,2,0,"http://www.facebook.com/pages/Restorant-Vinarnata/201230569914090","account_exists","Restorant Vinarnata",,"no_posts","115 likes • 115 followers","Intro
Page · Soul Food Restaurant
Sofia, Bulgaria
+359 88 201 5359
Price Range · $$$
Rating · 4.0 (34 Reviews)",0,"facebook","online","True","True",4,34,115
"g294452-d2219307","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Parkbar']","Parkbar","Unclaimed",4,"August 5, 2018","ul.Shipka 26, Sofia 1504 Bulgaria",42.693523,23.339418,"#628 of 1,226 Restaurants in Sofia","#112 of 172 Bar in Sofia",18,0,,,"Bar, Cafe, Pub, European",,,"Reservations, Seating, Table Service","False","False",,,,,7,5,3,2,1,"Spanish (1), German (1), English (14), Turkish (1), Greek (1)","in rating","g294452-d2219307","$$ - $$$","Bar, Cafe, European","Restaurants",14,4,0,"http://parkbar.eu/",,,"nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g294452-d2236249","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Craft']","Craft","Claimed",4.5,"December 11, 2022","53 Tsar Asen St., Sofia 1463 Bulgaria",42.69005,23.31818,"#104 of 1,226 Restaurants in Sofia","#3 of 45 Wine Bar in Sofia",71,0,,"₪17 - ₪68","Mediterranean, European, Wine Bar, Central European","Drinks, Lunch, Dinner","Vegetarian Friendly","Serves Alcohol, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Takeout","True","True",45,45,45,45,41,24,3,3,0,"Greek (1), German (2), French (5), English (54), Italian (5), Spanish (3), Dutch (1)","in rating","g294452-d2236249","$$ - $$$","Mediterranean, European, Wine Bar","Restaurants",54,17,0,"http://www.craft-bistro.com/","CRAFT bistro & wine bar, 53 Tsar Asen str., Крафт бистро и вино бар, Цар Асен 53 - CRAFT bistro and wine bar - Home",,"nan",,,,0,"non-facebook","online","True","False",,,0
