"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local","website","is_available","homesite_user_name","fb_last_update","facebook_text","subscribers","description","fb_last_update_year","website_type","website_status","is_available1","is_available2","fb_rating","fb_reviews","fb_followers"
"g1163724-d18894540","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Manhattan cafe']","Manhattan cafe","Unclaimed",5,"February 22, 2020","Zerotinova basta 1, Nove Zamky 940 02 Slovakia",47.9836,18.16351,"#9 of 12 Restaurants in Nove Zamky","#1 of 2 Contemporary in Nove Zamky",2,0,,,"Contemporary",,,,"False","True",,,,,2,0,0,0,0,"English, Slovak (2)","in rating","g1163724-d18894540",,"Contemporary","Restaurants",0,2,2,"https://www.facebook.com/ManhattancafeNZ/","account_exists","DDD RENT Komoča","October 10 , 2023","770€/mesiac s dph","1.1K likes • 1.1K followers","Intro
Požičovňa
Page · Local business
+421 919 400 900
dddrent.sk",2023,"facebook","online","True","True",,,1100
"g1163724-d19114297","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Kaviaren Varesse']","Kaviareň Varesse","Unclaimed",5,"June 25, 2022","Podzámska 42, Nove Zamky 94061 Slovakia",47.98768,18.16934,"#7 of 12 Restaurants in Nove Zamky","#7 of 12 Restaurants in Nove Zamky",2,0,,,,"Breakfast, Lunch, Brunch, Drinks",,"Delivery, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Serves Alcohol, Wine and Beer, Free Wifi, Dog Friendly, Family style, Non-smoking restaurants, Gift Cards Available","True","True",,,,,2,0,0,0,0,"English, Slovak (2)","in rating","g1163724-d19114297",,,"Restaurants",0,2,2,"http://www.facebook.com/www.cafevaressebar.sk","account_exists","Kaviareň Varesse","October, 2023","SanPellegrino vo farbách dúhy....#chinotto #mandarinka #granatovejablko #cervenypomaranc #opuncia #pomaranc #grep #citron #tangerine #pomegranate #redorange #prickleypear #orange #grapefruit #lemon #sanpellegrino","1.1K followers • 6 following","Intro
Štýlovo zariadená kaviareň je určená pre širokú verejnosť, najmä ako miesto pre posedenie
Page · Coffee shop
Podzámska 42, Nové Zámky, Slovakia
+421 917 969 298
varessekaviaren@gmail.com
Rating · 4.6 (45 Reviews)",2023,"facebook","online","True","True",4.6,45,1100
"g1163724-d20034417","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Aqua Caffe']","Aqua Caffe","Unclaimed",5,"August 20, 2021","Radničná 1 Corner with Hlavne namestie, Nove Zamky 94001 Slovakia",47.985386,18.16379,"#5 of 12 Restaurants in Nove Zamky","#1 of 2 Italian in Nove Zamky",4,0,,"₪8 - ₪17","Italian, French, European, Central European",,,,"False","True",,,,,4,0,0,0,0,"Slovak (1), English (3)","in rating","g1163724-d20034417","$","Italian, French, European","Restaurants",3,1,1,"http://aquacaffe.sk","Home | AquaCaffe","Home | AquaCaffe","nan",,,,0,"non-facebook","online","True","True",,,0
"g1163724-d20205821","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Header`s Pivovar & Restauracia']","Header`s Pivovar & Reštaurácia","Unclaimed",5,"March 4, 2020","Nábrežná 43/A, Nove Zamky 940 71 Slovakia",47.97828,18.167017,"#6 of 12 Restaurants in Nove Zamky","#2 of 2 Italian in Nove Zamky",3,0,,"₪13 - ₪63","Italian",,,,"False","True",,,,,3,0,0,0,0,"English (1), Slovak (2)","in rating","g1163724-d20205821","$","Italian","Restaurants",1,2,2,"http://www.headers.sk","nnn","nnn","nan",,,,0,"non-facebook","online","True","True",,,0
"g1163724-d7335344","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Spirit Restaurant']","Spirit Restaurant - CLOSED","Unclaimed",4,"September 23, 2021","G. Bethlena, Nove Zamky 940 02 Slovakia",47.977146,18.163103,,,32,0,,,"Sushi, Japanese, Steakhouse",,,"Reservations","False","True",40,40,40,,14,13,3,2,0,"Slovak (19), Hungarian (1), Czech (3), English (9)","closed","g1163724-d7335344","$$ - $$$","Japanese, Steakhouse, Sushi",,9,23,19,"http://www.spiritrestaurant.sk/","failed_to_access",,"nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1163724-d8321884","['Europe', 'Slovakia', 'Nitra Region', 'Nove Zamky', 'Nove Zamky Restaurants', 'Scriptor Cafe Bar']","Scriptor Cafe Bar","Unclaimed",5,"May 25, 2021","Kukuchinova 8, Nove Zamky 940 02 Slovakia",47.98711,18.164331,"#2 of 12 Restaurants in Nove Zamky","#2 of 12 Restaurants in Nove Zamky",16,0,,,,,,,"False","True",,,,,12,4,0,0,0,"English (5), Slovak (8), Hungarian (3)","in rating","g1163724-d8321884",,,"Restaurants",5,11,8,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1183409-d12120207","['Europe', 'Slovakia', 'Presov Region', 'Tatranska Strba', 'Tatranska Strba Restaurants', 'Macova Koliba']","Macova Koliba","Claimed",3.5,"June 27, 2021","Rekreacna 83, Tatranska Strba 05941 Slovakia",49.080547,20.072104,"#2 of 2 Restaurants in Tatranska Strba","#1 of 1 Contemporary in Tatranska Strba",39,0,,"₪8 - ₪50","Barbecue, Contemporary","Lunch, Dinner",,"Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Table Service","True","True",50,45,45,,23,2,1,2,11,"English (2), Czech (6), German (1), Spanish (1), Slovak (29)","in rating","g1183409-d12120207","$$ - $$$","Barbecue, Contemporary","Restaurants",2,37,29,"http://www.facebook.com/Macova-Koliba-303790090018855/","account_exists","Macova Koliba updated their cover photo.","October 24, 2022",,"320 likes • 331 followers","Intro
Útulná koliba s príjemnou atmosférou a chutnými špecialitami.
Page · Restaurant
ul. Rekreačná 83
Rating · 4.8 (23 Reviews)",2022,"facebook","online","True","True",4.8,23,331
"g1183409-d3585545","['Europe', 'Slovakia', 'Presov Region', 'Tatranska Strba', 'Tatranska Strba Restaurants', 'Restaurant Ingrid']","Restaurant Ingrid","Claimed",,,"Horská 1121/16, Tatranska Strba 059 41 Slovakia",49.09328,20.06262,,,0,0,,"₪16 - ₪32","European",,,,"False","True",,,,,0,0,0,0,0,,"in rating","g1183409-d3585545","$","European",,0,0,0,"http://www.ingrid.sk","Penzión Ingrid – Tatranská Štrba","Penzión Ingrid – Tatranská Štrba","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183409-d4717529","['Europe', 'Slovakia', 'Presov Region', 'Tatranska Strba', 'Tatranska Strba Restaurants', 'Koliba Zerucha']","Koliba Zerucha","Unclaimed",4.5,"July 24, 2023","Horska 1171, Tatranska Strba Slovakia",49.08379,20.070913,"#1 of 2 Restaurants in Tatranska Strba","#1 of 1 European in Tatranska Strba",216,0,,,"European, Eastern European, Central European","Lunch, Dinner","Vegetarian Friendly","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, Full Bar","True","True",45,45,45,50,134,42,19,13,8,"French (2), Slovak (84), Spanish (2), German (8), Polish (8), Russian (2), English (72), Dutch (1), Hebrew (5), Italian (1), Czech (28), Hungarian (3)","in rating","g1183409-d4717529","$$ - $$$","European, Eastern European, Central European","Restaurants",72,144,84,"http://www.kolibazerucha.sk/index.htm","Koliba Žerucha","Koliba Žerucha","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183427-d4238811","['Europe', 'Slovakia', 'Zilina Region', 'Vysna Boca', 'Vysna Boca Restaurants', 'Gastronomy at Hotel Barbora']","Gastronomy at Hotel Barbora","Unclaimed",2,"August 7, 2019","032 34 Vyšná Boca č. 73, Vyšná Boca Slovakia",48.92577,19.75005,"#1 of 1 Restaurant in Vyšná Boca","#1 of 1 Restaurants in Vysna Boca",11,0,,,,,,,"False","True",,10,15,,0,2,3,1,5,"Portuguese (1), Polish (2), Czech (1), English (7)","in rating","g1183427-d4238811","$$ - $$$",,"Restaurants",7,4,0,"http://www.hotelbarbora.sk/en","Hotel Barbora ***, Vyšná Boca Malužiná, Nízke Tatry |","Hotel Barbora ***, Vyšná Boca Malužiná, Nízke Tatry |","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183429-d15087261","['Europe', 'Slovakia', 'Kosice Region', 'Smizany', 'Smizany Restaurants', 'U susedy']","U susedy","Unclaimed",3.5,"July 7, 2021","Nalepkova 30, Smizany 053 11 Slovakia",48.95707,20.51417,"#3 of 3 Restaurants in Smizany","#3 of 3 Restaurants in Smizany",4,0,,,,"Lunch, Dinner",,,"True","True",,,,,1,1,1,0,1,"Czech (1), English (1), Slovak (2)","in rating","g1183429-d15087261",,,"Restaurants",1,3,2,"http://www.ususedy.sk","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1183429-d21236046","['Europe', 'Slovakia', 'Kosice Region', 'Smizany', 'Smizany Restaurants', 'Vysna Restaurant']","Vyšná Restaurant","Unclaimed",5,"February 11, 2022","Tatranská 118, Smizany 053 11 Slovakia",48.955765,20.516987,"#2 of 3 Restaurants in Smizany","#2 of 3 Restaurants in Smizany",1,0,,"₪17 - ₪42","International, European, Central European",,,,"False","True",,,,,1,0,0,0,0,"English (1)","in rating","g1183429-d21236046","$","International, European, Central European","Restaurants",1,0,0,"http://www.vysna.sk","Domov - Vyšná -Restaurant-","Domov - Vyšná -Restaurant-","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183429-d8325089","['Europe', 'Slovakia', 'Kosice Region', 'Smizany', 'Smizany Restaurants', 'Restaurant Wimbach']","Restaurant Wimbach","Unclaimed",4,"June 19, 2019","Iliashovska 2, Smizany 053 11 Slovakia",48.95649,20.53184,"#1 of 3 Restaurants in Smizany","#1 of 2 European in Smizany",11,0,,,"European, Central European",,,,"False","True",45,45,45,,4,5,1,0,1,"Polish (4), Hebrew (1), Russian (1), English (1), Czech (1), Slovak (1), German (2)","in rating","g1183429-d8325089","$","European, Central European","Restaurants",1,10,1,"http://www.wimbach.sides.sk/","Reštaurácia WIMBACH",,"nan",,,,0,"non-facebook","online","True","False",,,0
"g1183446-d14918137","['Europe', 'Slovakia', 'Trencin Region', 'Nitrianske Rudno', 'Nitrianske Rudno Restaurants', 'Pepperoni']","Pepperoni","Unclaimed",3,"September 8, 2019","Sportova 48, Nitrianske Rudno 97226 Slovakia",48.8001,18.47921,"#1 of 1 Restaurant in Nitrianske Rudno","#1 of 1 Restaurants in Nitrianske Rudno",2,0,,,,"Lunch, Dinner",,,"True","True",,,,,1,0,0,0,1,"English, Slovak (2)","in rating","g1183446-d14918137",,,"Restaurants",0,2,2,"http://www.pepperoni.sk/kde-nas-najdete.html","Strona nie istnieje (404)","Pepperoni - Objednať a zaplatiť online - Pepperoni","nan",,,,0,"non-facebook","online","False","True",,,0
"g1183446-d17766699","['Europe', 'Slovakia', 'Trencin Region', 'Nitrianske Rudno', 'Nitrianske Rudno Restaurants', 'ATC Club - Restauracia - Pizzeria']","ATC Club - Restauracia - Pizzeria","Unclaimed",,,"Priehrada II/1, Nitrianske Rudno 97226 Slovakia",48.80937,18.47737,,,0,0,,,"Pub, Gastropub",,,,"False","True",,,,,0,0,0,0,0,,"in rating","g1183446-d17766699",,"Pub, Gastropub",,0,0,0,"https://www.facebook.com/pages/category/Restaurant/ATC-Club-Re%C5%A1taur%C3%A1cia-Pizz%C3%A9ria-2371922149751494/","account_exists","Camping Nitrianske Rudno","October 9 , 2023","Drum & Bass party Spectral je tu zas a uskutoční sa 14.10.2023 v ATC klube v Nitrianskom Rudne. Samozrejme sa opäť môžte tešit na celé spektrum drum & bass hudby vrátane podžánrov ako liquid, dancefloor, jumpup, neurofunk a crossbreed.","2.4K followers • 4 following","Intro
Camping Nitrianske Rudno
Page · RV Park
Camping Nitrianske Rudno, Nitrianske Rudno, Slovakia
+421 915 677 487
campingrudno.sk
Price Range · $$
Rating · 4.5 (9 Reviews)",2023,"facebook","online","True","True",4.5,9,2400
"g1183448-d10118928","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Hradok', 'Liptovsky Hradok Restaurants', 'caffe EXCLUSIVE']","caffé EXCLUSIVE","Claimed",4.5,"November 7, 2022","Hviezdoslavova 170, Liptovsky Hradok 033 01 Slovakia",49.037212,19.720947,"#1 of 1 Coffee & Tea in Liptovsky Hradok","#1 of 1 Coffee & Tea in Liptovsky Hradok",25,0,,,"European, Healthy, Central European","Brunch, Drinks, Breakfast, Lunch, Dinner","Vegetarian Friendly","Takeout, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Reservations","True","True",50,50,50,,19,5,1,0,0,"English (8), Polish (1), Slovak (14), Czech (2)","in rating","g1183448-d10118928","$$ - $$$","European, Healthy, Central European","Coffee & Tea",8,17,14,"http://www.caffeexclusive.sk/","EXCLUSIVE Restaurant | Pizza & Bar | Liptovský Hrádok",,"nan",,,,0,"non-facebook","online","True","False",,,0
"g1183448-d2515436","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Hradok', 'Liptovsky Hradok Restaurants', 'LH Point - Restaurant']","LH Point - Restaurant","Claimed",4.5,"July 14, 2022","Hradna 340, Liptovsky Hradok Slovakia",49.040966,19.72889,"#1 of 4 Restaurants in Liptovsky Hradok","#1 of 4 Restaurants in Liptovsky Hradok",111,0,,"₪17 - ₪63","Pizza, European, Italian, International","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service","True","True",45,45,45,45,81,24,2,2,2,"Polish (4), German (1), Dutch (1), Czech (5), English (46), Slovak (54)","in rating","g1183448-d2515436","$$ - $$$","Italian, Pizza, International","Restaurants",46,65,54,"http://www.lhpoint.sk","Point Restaurant | Pizza & Bar | Liptovský Hrádok","Point Restaurant | Pizza & Bar | Liptovský Hrádok","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183448-d4503857","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Hradok', 'Liptovsky Hradok Restaurants', 'Irish Pub 12']","Irish Pub 12","Unclaimed",4.5,"October 4, 2020","J. Martinku 877, Liptovsky Hradok 03301 Slovakia",49.03678,19.72136,"#4 of 4 Restaurants in Liptovsky Hradok","#1 of 1 Pub in Liptovsky Hradok",3,0,,,"Irish, Pub","Breakfast, Lunch, Dinner",,,"True","True",,,,,2,1,0,0,0,"Polish (1), Slovak (1), English (1)","in rating","g1183448-d4503857",,"Irish, Pub","Restaurants",1,2,1,"http://www.pub12.sk","Doplnky výživy, športová výživa a potraviny","Doplnky výživy, športová výživa a potraviny","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183448-d7237541","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Hradok', 'Liptovsky Hradok Restaurants', 'Bar & Restaurant Magdalena Zai']","Bar & Restaurant Magdalena Zai","Claimed",4.5,"August 19, 2023","Ulica Magdaleny Zai 1, Liptovsky Hradok 033 01 Slovakia",49.04604,19.73206,"#2 of 4 Restaurants in Liptovsky Hradok","#3 of 4 European in Liptovsky Hradok",37,0,,"₪29 - ₪80","International, European, Central European","Lunch, Dinner",,"Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Wine and Beer, Table Service, Accepts Credit Cards","True","True",40,35,40,,24,5,5,1,2,"English (11), Russian (3), Czech (2), Slovak (17), German (3), Chinese (Sim.) (1)","in rating","g1183448-d7237541","$$ - $$$","International, European, Central European","Restaurants",11,26,17,"http://www.grandcastle.sk/sk/bar-restauracia/uvod","Page not found | grandcastle.sk","Hlavná stránka | grandcastle.sk","nan",,,,0,"non-facebook","online","False","True",,,0
"g1183448-d8431399","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Hradok', 'Liptovsky Hradok Restaurants', 'Koliba Cerveny Kut']","Koliba Cerveny Kut","Unclaimed",4,"September 27, 2023","Masa 1/2, Liptovsky Hradok 033 01 Slovakia",49.0349,19.78081,"#3 of 4 Restaurants in Liptovsky Hradok","#4 of 4 European in Liptovsky Hradok",30,0,,,"European",,,"Reservations, Table Service","False","True",40,40,40,,13,5,10,0,2,"Slovak (18), Polish (1), Czech (1), Hungarian (1), German (2), English (7)","in rating","g1183448-d8431399","$$ - $$$","European","Restaurants",7,23,18,"https://www.facebook.com/cervenykut/","account_exists","Koliba Červený Kút","October, 2023","Denné menu PONDELOK 23.10.- PIATOK 27.10. 
 Prajeme dobrú chuť. ","2.9K likes • 3.2K followers","Intro
Reštaurácia Červený kút sa nachádza na hlavnej ceste v blízkosti križovatky hlavnej cesty sm
Page · Restaurant
MAŠA 1/2, Liptovský Hrádok, Slovakia
+421 910 123 432
info@cervenykut.sk
cervenykut.sk",2023,"facebook","online","True","True",,,3200
"g1183458-d11912192","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Koliba U zbojnikov']","Koliba U zbojníkov","Unclaimed",3.5,"October 1, 2023","Tatranska 685, Velka Lomnica 059 52 Slovakia",49.120136,20.351603,"#4 of 6 Restaurants in Velka Lomnica","#1 of 2 Central European in Velka Lomnica",75,0,,,"Central European, European","Lunch, Dinner",,"Reservations, Seating, Table Service","True","True",40,45,40,,20,17,25,7,6,"Czech (13), Hebrew (1), Slovak (33), German (4), Russian (3), Hungarian (5), Italian (1), Spanish (1), Polish (5), English (9)","in rating","g1183458-d11912192","$$ - $$$","European, Central European","Restaurants",9,66,33,"http://www.kolibauzbojnikov.sk","Rady, zaujímavosti a správy zo sveta | kolibauzbojnikov.sk","Rady, zaujímavosti a správy zo sveta | kolibauzbojnikov.sk","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183458-d12670458","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Pizza Orchidea']","Pizza Orchidea","Unclaimed",4,"June 29, 2021","Sportova 1047/2, Velka Lomnica 059 52 Slovakia",49.121414,20.351023,"#3 of 6 Restaurants in Velka Lomnica","#2 of 2 Italian in Velka Lomnica",14,0,,"₪17 - ₪25","Italian",,,"Reservations, Table Service","False","True",,,,,6,5,3,0,0,"Polish (2), English (5), Russian (1), German (1), Czech (2), Slovak (2), Hungarian (1)","in rating","g1183458-d12670458","$$ - $$$","Italian","Restaurants",5,9,2,"https://www.facebook.com/orchideapizza/","account_exists","no_company_name",,"no_posts",,,0,"facebook","online","True","True",,,0
"g1183458-d12692431","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Ristorante Italiano Orchidea']","Ristorante Italiano Orchidea","Claimed",4,"October 1, 2023","Sportova 1047/2, Velka Lomnica 05952 Slovakia",49.121307,20.350937,"#1 of 6 Restaurants in Velka Lomnica","#1 of 2 Italian in Velka Lomnica",48,0,,,"Italian","Lunch, Dinner",,"Takeout, Reservations, Outdoor Seating, Parking Available, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service","True","True",50,45,45,,32,5,2,2,7,"English (8), Hebrew (1), Slovak (26), Czech (4), Italian (1), Hungarian (1), Polish (7)","in rating","g1183458-d12692431","$","Italian","Restaurants",8,40,26,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1183458-d12967932","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Salas Goralsky Dvor']","Salas Goralsky Dvor","Unclaimed",3,"March 24, 2023","Skalnata 618, Velka Lomnica 059 52 Slovakia",49.119305,20.35456,"#6 of 6 Restaurants in Velka Lomnica","#2 of 2 European in Velka Lomnica",25,0,,,"Central European, European, Eastern European","Dinner",,"Reservations, Table Service, Seating, Wheelchair Accessible","False","True",25,25,25,,9,3,2,3,8,"Slovak (6), Russian (1), Polish (1), Czech (5), English (12)","in rating","g1183458-d12967932","$$ - $$$","European, Eastern European, Central European","Restaurants",12,13,6,"http://ubytovanielomnica.eu","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1183458-d7761785","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Hotel International Restaurant']","Hotel International Restaurant - CLOSED","Claimed",4.5,"March 16, 2020","Tatranska 754, Velka Lomnica 059 52 Slovakia",49.13723,20.340225,,,27,0,,"₪8 - ₪126","International","Breakfast, Lunch, Drinks, Dinner",,"Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Takeout, Wine and Beer, Accepts Credit Cards, Table Service, Dog Friendly, Non-smoking restaurants","False","True",45,45,40,,21,2,3,1,0,"English (5), Czech (5), Slovak (14), French (3)","closed","g1183458-d7761785","$$ - $$$","Dessert, International",,5,22,14,"https://www.international.sk/restauracia-pyrus/","Hotel International**** - Reštaurácia v Hoteli International**** v Tatrách","Hotel International****","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183458-d8114591","['Europe', 'Slovakia', 'Presov Region', 'Velka Lomnica', 'Velka Lomnica Restaurants', 'Lobby Bar']","Lobby Bar","Claimed",5,"January 23, 2022","Tatranska 754, Velka Lomnica 059 52 Slovakia",49.13713,20.34034,"#5 of 6 Restaurants in Velka Lomnica","#5 of 6 Restaurants in Velka Lomnica",9,0,,"₪13 - ₪63",,"Breakfast, Lunch, Dinner",,"Accepts Visa, Takeout, Outdoor Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards","True","True",,,,,8,1,0,0,0,"French (1), English (1), Slovak (4), Czech (2), Hungarian (1)","in rating","g1183458-d8114591","$$ - $$$",,"Restaurants",1,8,4,"http://www.golftatry.sk/sluzby/lobby-bar/","Golfový rezort Black Stork - Hotel International ****","Golfový rezort Black Stork - Hotel International ****","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183475-d10838177","['Europe', 'Slovakia', 'Zilina Region', 'Besenova', 'Besenova Restaurants', 'Pizzeria Giovanni']","Pizzeria Giovanni","Unclaimed",3.5,"September 10, 2022","Beshenova 136, Besenova 034 83 Slovakia",49.09968,19.44461,"#2 of 2 Restaurants in Besenova","#2 of 2 Restaurants in Besenova",34,0,,,"Italian, Pizza","Lunch, Dinner",,"Reservations, Wheelchair Accessible, Table Service","True","False",35,40,35,,10,8,8,2,6,"English (11), Hebrew (1), Polish (6), Russian (1), Slovak (4), Czech (11)","in rating","g1183475-d10838177","$$ - $$$","Italian, Pizza","Restaurants",11,23,4,"http://www.besenova.com.pl/zakwaterowanie/gastronomia-bary-restauracje-bufety","Restauracje i bary w Aquaparku Besenova, Słowacja","Aquapark Besenova i Hotele Słowacja","nan",,,,0,"non-facebook","online","True","True",,,0
"g1183475-d21306672","['Europe', 'Slovakia', 'Zilina Region', 'Besenova', 'Besenova Restaurants', 'Restauracia a cukraren Euforia']","Restauracia a cukraren Euforia","Claimed",,,"Besenova 155, Besenova 034 83 Slovakia",,,,,0,0,,"₪13 - ₪59","Cafe, International, Pub, Wine Bar","Breakfast, Lunch, Dinner, Drinks",,"Takeout, Reservations, Outdoor Seating, Seating, Television, Wheelchair Accessible, Wine and Beer, Free Wifi, Accepts Credit Cards, Family style","True","True",,,,,0,0,0,0,0,,"in rating","g1183475-d21306672","$","Cafe, International, Pub",,0,0,0,"https://www.facebook.com/restauraciaCukrarenEuforia/?ref=page_internal","account_doesnt_exist",,"nan",,,,0,"facebook","unavailable","True","True",,,0
"g1183475-d8564250","['Europe', 'Slovakia', 'Zilina Region', 'Besenova', 'Besenova Restaurants', 'Gazdovsky Dvor']","Gazdovsky Dvor","Claimed",4,"September 5, 2020","Besenova Slovakia",49.10858,19.446693,"#1 of 2 Restaurants in Besenova","#1 of 2 Restaurants in Besenova",55,0,,,"Central European, Barbecue, European","Lunch, Dinner",,"Reservations, Seating, Table Service","False","True",45,40,45,,29,16,1,5,4,"English (11), Hebrew (1), Polish (10), Russian (2), German (1), Czech (8), Japanese (1), Slovak (21)","in rating","g1183475-d8564250","$$ - $$$","Barbecue, European, Central European","Restaurants",11,44,21,"http://www.gazdovskydvor.com/","Gazdovský dvor B&B – Gazdovský dvor Bešeňová B&B",,"nan",,,,0,"non-facebook","online","True","False",,,0
"g1183481-d2517730","['Europe', 'Slovakia', 'Presov Region', 'Stara Lesna', 'Stara Lesna Restaurants', 'Zbojnicka koliba - Stara Lesna']","Zbojnicka koliba - Stara Lesna","Unclaimed",4,"March 6, 2022","Stara Lesna 103,, Stara Lesna Slovakia",49.139168,20.299032,"#2 of 2 Restaurants in Stara Lesna","#1 of 1 Central European in Stara Lesna",78,0,,,"Central European, Barbecue, European, Contemporary","Dinner, Lunch",,"Reservations, Seating, Serves Alcohol, Table Service, Live Music","True","True",45,40,40,45,41,11,8,3,15,"Hebrew (1), German (1), Russian (6), Czech (14), Polish (9), English (27), Spanish (1), Hungarian (1), French (2), Slovak (16)","in rating","g1183481-d2517730","$$ - $$$","Barbecue, European, Contemporary","Restaurants",27,51,16,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1183481-d4876729","['Europe', 'Slovakia', 'Presov Region', 'Stara Lesna', 'Stara Lesna Restaurants', 'Taverna Montis']","Taverna Montis","Unclaimed",4,"August 8, 2023","Hlavna 29, Stara Lesna Slovakia",49.135967,20.307865,"#1 of 2 Restaurants in Stara Lesna","#1 of 2 European in Stara Lesna",81,0,,,"European","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Serves Alcohol, Seating, Table Service","False","False",45,40,45,45,52,11,1,3,14,"Slovak (28), French (1), Polish (13), Russian (6), Czech (10), Hungarian (9), Spanish (1), English (13)","in rating","g1183481-d4876729","$$ - $$$","European, Vegetarian Friendly, Vegan Options","Restaurants",13,68,28,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1183497-d10389518","['Europe', 'Slovakia', 'Zilina Region', 'Rajecke Teplice', 'Rajecke Teplice Restaurants', 'Slnecny pavilon']","Slnecny pavilon","Unclaimed",4.5,"January 2, 2021","M. R. Stefanika 75, Rajecké Teplice 013 13 Slovakia",49.12884,18.68918,"#4 of 10 Restaurants in Rajecké Teplice","#4 of 5 European in Rajecke Teplice",14,0,,,"European",,,,"False","True",,,,,6,7,0,1,0,"Slovak (9), Czech (2), English (3)","in rating","g1183497-d10389518","$$ - $$$","European","Restaurants",3,11,9,"http://www.slnecnypavilon.sk/","Vinotéka, reštaurácia, konferencie - Slnečný pavilón",,"nan",,,,0,"non-facebook","online","True","False",,,0
